,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
95,aluguel,Sala,Paralela, Avenida Luís Viana,,54.66,0,1,1,1970.0
96,aluguel,Apartamento,Ondina, Avenida Oceânica,1479.0,100.0,3,1,3,2000.0
97,aluguel,Casa,Bonfim, Travessa Álvares de Azevedo,9.0,240.0,2,1,2,2000.0
98,aluguel,Ponto comercial,Liberdade, Rua General Savaget,,290.0,0,0,0,2000.0
99,aluguel,Sala,Caminho das Árvores, Alameda Salvador,1057.0,35.05,0,1,1,2000.0
100,aluguel,Sala,Candeal, Rua Leonor Calmon,256.0,34.9,0,1,1,2000.0
101,aluguel,Sala,Pituba,,,9.0,0,0,2,2000.0
102,aluguel,Salão,Mussurunga I, Rua Doutor Arthur Couto,,70.0,0,0,1,2000.0
103,aluguel,Apartamento,Massaranduba, Rua Lopes Trovão,,25.0,1,0,1,500.0
104,aluguel,Sala,Comércio, Avenida Estados Unidos,,33.0,0,0,1,500.0
105,aluguel,Apartamento,São Marcos, Rua Dom Bosco,3.0,54.0,1,1,1,600.0
106,aluguel,Casa,Macaúbas, Rua Antero de Britto,,42.0,2,0,1,660.0
107,aluguel,Apartamento,Nazaré, Rua Desembargador Adolfo Ribeiro Santos Souza,67.0,40.0,1,0,1,780.0
108,aluguel,Sala,Dois de Julho, Avenida Sete de Setembro,62.0,47.0,0,0,1,800.0
109,aluguel,Sala,Caminho das Árvores, Rua Alceu Amoroso Lima,786.0,24.0,0,1,0,840.0
110,aluguel,Apartamento,Mares,,,80.0,2,0,2,850.0
111,aluguel,Apartamento,Iapi, Rua Doutor Odilon Machado,657.0,65.0,2,1,3,850.0
112,aluguel,Casa,Vila Laura, Avenida Brasil,64.0,47.0,2,0,1,850.0
113,aluguel,Apartamento,Massaranduba, Rua Lopes Trovão,250.0,70.0,2,1,2,900.0
114,aluguel,Apartamento,Parque Bela Vista,,,70.0,2,1,2,950.0
115,aluguel,Apartamento,Barbalho,,,118.0,3,0,2,990.0
116,aluguel,Loja,Politeama, Rua Clóvis Spínola,40.0,30.0,0,0,1,1000.0
117,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,27.0,0,1,1,1000.0
118,aluguel,Sala,Caminho das Árvores, Rua Frederico Simões,153.0,27.25,0,1,0,1040.0
119,aluguel,Apartamento,Barbalho, Ladeira do Arco,,49.71,2,1,1,1080.0
120,aluguel,Apartamento,Bonfim, Rua Ministro Bulcão Viana,17.0,80.0,2,1,2,1100.0
121,aluguel,Sala,Pituba, Rua Rio Grande do Sul,332.0,28.32,0,0,0,1100.0
122,aluguel,Apartamento,Bonfim, Rua Doutor Couto Maia,2.0,74.0,3,0,2,1150.0
123,aluguel,Apartamento,Federação, Rua Fernando Visco Didier,,91.0,2,1,2,1188.0
124,aluguel,Apartamento,Graça, Rua Manoel Barreto,,83.0,2,1,3,2125.0
125,aluguel,Apartamento,Imbuí, Rua João José Rescala,210.0,75.0,2,1,2,2400.0
126,aluguel,Sala,Centro, Praça da Sé,,137.0,0,0,2,2400.0
127,aluguel,Sala,Caminho das Árvores, Rua Coronel Almerindo Rehem,,54.78,0,2,2,2400.0
128,aluguel,Apartamento,Rio Vermelho, Avenida Cardeal da Silva,2070.0,99.0,2,2,3,2475.0
129,aluguel,Apartamento,Rio Vermelho, Rua Barro Vermelho,,95.0,1,2,2,2500.0
130,aluguel,Conjunto de salas,Mares, Avenida Fernandes da Cunha,22.0,115.0,0,3,1,2500.0
131,aluguel,Apartamento,Graça, Rua Santa Rita de Cássia,,126.0,3,1,1,2592.0
132,aluguel,Apartamento,Vitória, Rua Aloísio de Carvalho,147.0,132.0,3,2,2,2804.0
133,aluguel,Apartamento,Ondina, Avenida Oceânica,,83.2,2,2,2,2900.0
134,aluguel,Casa Comercial,Calçada, Rua Nilo Peçanha,136.0,165.0,4,1,2,3000.0
135,aluguel,Loja,Baixa dos Sapateiros, Baixa dos Sapateiros,304.0,192.0,0,0,2,3000.0
136,aluguel,Apartamento,Vitória, Avenida Sete de Setembro,,84.0,3,1,3,3500.0
137,aluguel,Casa,Boca do Rio, Rua Tenente Gustavo dos Santos,38.0,160.0,4,1,3,3500.0
138,aluguel,Loja,Caminho de Areia, Avenida Caminho de Areia,,150.0,0,2,3,3500.0
139,aluguel,Loja,Comércio, Rua Portugal,25.0,30.0,0,0,1,3500.0
140,aluguel,Prédio,Santo Antônio, Rua do Passo,6.0,200.0,0,0,2,3600.0
141,aluguel,Loja,Comércio, Rua Portugal,6.0,56.0,0,0,1,4000.0
142,aluguel,Conjunto de salas,Campo Grande, Largo do Campo Grande,14.0,130.0,0,0,2,4500.0
143,aluguel,Casa Comercial,Roma, Rua Francisco Souza,54.0,500.0,3,6,4,5000.0
144,aluguel,Loja,Roma, Avenida Fernandes da Cunha,124.0,230.0,0,3,3,5000.0
145,aluguel,Casa Comercial,Bonfim, Rua Henrique Dias,295.0,500.0,4,4,3,5500.0
146,aluguel,Casa Comercial,Bonfim, Rua Octávio Barreto,4.0,350.0,5,8,4,6000.0
147,aluguel,Loja,Plataforma, Avenida Afrânio Peixoto,,370.0,0,0,0,6500.0
148,aluguel,Casa Comercial,Costa Azul, Rua Arthur de Azevedo Machado,,384.0,0,8,4,8000.0
149,aluguel,Prédio,Acupe de Brotas, Rua Professor Rômulo Almeida,22.0,300.0,0,11,2,8000.0
150,aluguel,Hotel,São Marcos, Rua Vila Vasconcelos,81.0,550.0,24,0,24,8500.0
151,aluguel,Loja,Roma, Praça Irmã Dulce,1.0,180.0,0,2,1,9000.0
152,aluguel,Casa,Rio Vermelho, Rua Alagoinhas,,384.0,7,4,4,10000.0
153,aluguel,Casa,Nazaré, Rua Bela Vista do Cabral,86.0,278.0,4,0,2,10000.0
154,aluguel,Sala,Pituba, Rua Ramalho Ortigão,30.0,18.0,0,0,1,500.0
155,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
156,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
157,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
158,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
159,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.27,0,1,1,550.0
160,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,27.33,0,1,0,600.0
161,aluguel,Apartamento,Dois de Julho, Largo Dois de Julho,,67.0,1,0,1,648.0
162,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650.0
163,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650.0
164,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650.0
165,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650.0
166,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.65,0,1,1,650.0
167,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650.0
168,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,28.0,0,1,1,650.0
169,aluguel,Sala,Brotas, Avenida Antônio Carlos Magalhães,,37.12,0,1,1,650.0
170,aluguel,Sala,Pituba, Avenida Antônio Carlos Magalhães,,31.57,0,1,1,650.0
171,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,24.71,0,1,0,700.0
172,aluguel,Sala,Caminho das Árvores, Rua Alceu Amoroso Lima,,28.0,0,1,0,700.0
173,aluguel,Apartamento,Engenho Velho da Federação, Rua Padre Raimundo Machado,,49.0,2,0,1,702.0
174,aluguel,Loja,Pituba, Avenida Paulo Vi,,16.0,0,0,0,750.0
175,aluguel,Apartamento,Nova Brasília, Travessa Bosque do Aeroporto,,50.0,2,0,1,756.0
176,aluguel,Apartamento,Sussuarana, Avenida Ulysses Guimarães,,45.0,2,1,1,780.0
177,aluguel,Sala,Caminho das Árvores, Rua Frederico Simões,,27.8,0,1,1,800.0
178,aluguel,Sala,Comércio, Rua Torquato Bahia,,44.0,0,0,1,800.0
179,aluguel,Sala,Dois de Julho, Avenida Sete de Setembro,,80.0,0,0,2,800.0
180,aluguel,Apartamento,Trobogy, Rua Aymoré Moreira,,38.52,1,0,1,830.0
181,aluguel,Sala,Pituba, Alameda Benevento,,27.41,0,1,0,850.0
182,aluguel,Apartamento,Graça, Rua Engenheiro Celso Torres,,205.0,4,1,4,2200.0
183,aluguel,Apartamento,Rio Vermelho, Rua Rodrigo Argolo,,108.0,3,1,3,2337.0
184,aluguel,Loja,Barra, Travessa Marques de Leão,,48.62,0,0,2,2400.0
185,aluguel,Loja,Itapuã, Avenida Octávio Mangabeira,,65.0,0,0,0,2500.0
186,aluguel,Apartamento,Pituba, Avenida Paulo Vi,,101.6,3,2,3,2600.0
187,aluguel,Apartamento,Graça, Avenida Euclydes da Cunha,,70.0,2,1,1,2656.0
188,aluguel,Apartamento,Costa Azul, Rua Doutor Augusto Lopes Pontes,,90.0,3,2,2,2656.0
189,aluguel,Apartamento,Barra, Rua Afonso Celso,,56.0,1,1,1,2975.0
190,aluguel,Apartamento,Graça, Avenida Princesa Isabel,,155.0,3,1,3,3150.0
191,aluguel,Apartamento,Graça, Avenida Euclydes da Cunha,,223.0,4,2,2,3150.0
192,aluguel,Casa Comercial,Pelourinho, Largo do Pelourinho,,100.0,4,0,2,3200.0
193,aluguel,Apartamento,Itaigara,,,132.0,3,2,2,3500.0
194,aluguel,Sala,Paripe, Rua Doutor Eduardo Dotto,2.0,180.0,0,0,1,3500.0
195,aluguel,Conjunto de salas,Chame-chame, Avenida Centenário,,100.0,0,3,3,4000.0
196,aluguel,Conjunto de salas,Pituba, Rua Mato Grosso,164.0,200.0,0,0,4,4300.0
197,aluguel,Apartamento,Chame-chame, Rua Desembargador Baldoíno Andrade,,146.0,4,3,4,5170.0
198,aluguel,Apartamento,Dois de Julho, Ladeira do Gabriel,,67.43,1,1,1,5500.0
199,aluguel,Ponto comercial,Rio Vermelho, Rua Lucaia,148.0,150.0,0,0,2,5500.0
200,aluguel,Loja,Pernambués, Rua do Hipódromo,,210.0,0,0,0,6000.0
201,aluguel,Casa,Pituba, Rua Alexandre de Humboldt,,390.0,0,4,2,7000.0
202,aluguel,Loja,Horto Florestal, Rua do Jacarandá,,217.0,0,0,3,8500.0
203,aluguel,Casa Comercial,Pituba, Rua São Paulo,,360.0,0,0,4,9000.0
204,aluguel,Casa Comercial,Canela, Rua Cônego José Loreto,,550.0,2,4,2,10000.0
205,aluguel,Casa Comercial,Vila Laura, Rua Arthur de Almeida Couto,,353.0,4,0,5,10000.0
206,aluguel,Casa Comercial,Ondina, Rua Baependi,,300.0,0,0,0,15000.0
207,aluguel,Casa Comercial,Brotas, Avenida Dom João Vi,,559.0,0,9,3,18000.0
208,aluguel,Galpão,Brotas, Avenida Dom João Vi,,500.0,0,9,3,18000.0
209,aluguel,Casa Comercial,Pituba, Avenida Paulo Vi,345.0,420.0,0,0,0,19000.0
210,aluguel,Prédio,Jardim Apipema, Rua Professor Sabino Silva,38.0,833.0,0,5,2,19000.0
211,aluguel,Casa Comercial,Pituba, Rua São Paulo,,800.0,5,6,5,20000.0
212,aluguel,Sala,Caminho das Árvores, Avenida Tancredo Neves,,694.0,0,13,4,30000.0
213,aluguel,Apartamento,Parque Bela Vista, Rua Doutor Mário Campos,34.0,66.15,3,0,2,880.0
